epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.421,1.31373,2.22245,1.89749,0.65957,0.59416,0.72064,0.54406,0.81081,2.92463,1.81252,0.0002,0.0002,0.0002
2,337.132,1.28912,1.88853,1.84582,0.78535,0.5,0.58612,0.31491,1.20629,3.73819,2.0606,0.000408416,0.000408416,0.000408416
3,507.606,1.23242,1.79763,1.69639,0.6562,0.66969,0.60644,0.34137,1.37459,3.11655,2.0796,0.000612625,0.000612625,0.000612625
4,669.203,1.19555,1.82336,1.69056,0.59131,0.6875,0.69681,0.29995,1.68481,2.91755,2.43534,0.000812626,0.000812626,0.000812626
5,836.772,1.15123,1.72123,1.64341,0.60352,0.70125,0.62798,0.28818,1.5109,2.79256,2.683,0.00100842,0.00100842,0.00100842
6,931.044,1.17198,1.74389,1.71827,0.71199,0.32163,0.51115,0.3123,1.32299,2.96613,2.41031,0.00118812,0.00118812,0.00118812
7,1016.63,1.19632,1.73859,1.73201,0.64261,0.75,0.72203,0.52605,1.04233,2.33982,1.96019,0.00117575,0.00117575,0.00117575
8,1094.62,1.19732,1.65971,1.71798,0.70009,0.625,0.63578,0.4363,0.98184,2.27625,1.93721,0.00116337,0.00116337,0.00116337
9,1163.52,1.16552,1.72224,1.70661,0.61488,0.6875,0.6495,0.30161,1.68652,2.89839,2.57684,0.001151,0.001151,0.001151
10,1240.53,1.11872,1.62031,1.63247,0.62394,0.78918,0.76173,0.47855,1.24902,1.99127,2.22752,0.00113863,0.00113863,0.00113863
11,1319.14,1.1679,1.69952,1.68388,0.51819,0.72631,0.75642,0.43435,1.25809,2.14673,2.23704,0.00112625,0.00112625,0.00112625
12,1397.24,1.08151,1.5591,1.60653,0.51381,0.66266,0.75298,0.33623,1.39757,2.59474,2.21732,0.00111388,0.00111388,0.00111388
13,1479.42,1.10428,1.51596,1.64568,0.69299,0.57386,0.61764,0.31683,1.25527,2.54239,2.17177,0.0011015,0.0011015,0.0011015
14,1553.37,1.01689,1.51466,1.59288,0.58591,0.70537,0.71089,0.44771,1.23047,2.35738,2.22048,0.00108913,0.00108913,0.00108913
15,1641.63,1.07393,1.49327,1.57914,0.77761,0.76776,0.81363,0.51134,1.16171,1.84248,2.17911,0.00107675,0.00107675,0.00107675
16,1722.06,1.1063,1.46434,1.65024,0.64029,0.84779,0.82869,0.49123,1.16565,1.93451,2.08107,0.00106437,0.00106437,0.00106437
17,1776.31,1.10382,1.46256,1.62151,0.55927,0.71281,0.72339,0.37116,1.47597,2.2742,2.24196,0.001052,0.001052,0.001052
18,1841.14,1.11284,1.49876,1.66778,0.54906,0.76266,0.79287,0.49965,1.11773,2.00949,2.09154,0.00103962,0.00103962,0.00103962
19,1919.09,0.9938,1.44151,1.55215,0.71661,0.92969,0.85534,0.57514,0.91754,1.75134,1.94899,0.00102725,0.00102725,0.00102725
20,1973.31,1.09062,1.44516,1.60143,0.66674,0.9375,0.81936,0.56599,0.97941,1.57096,2.10426,0.00101488,0.00101488,0.00101488
21,2027.32,1.00343,1.45625,1.58486,0.69698,0.90408,0.88248,0.60342,1.03905,1.39139,2.17696,0.0010025,0.0010025,0.0010025
22,2090.39,0.97429,1.35333,1.52898,0.94713,0.65932,0.88832,0.61815,1.04817,1.61363,1.97882,0.000990125,0.000990125,0.000990125
23,2144.93,1.03866,1.35768,1.54442,0.81246,0.77331,0.86062,0.58849,1.09369,1.67331,2.11633,0.00097775,0.00097775,0.00097775
24,2198.36,0.92186,1.35381,1.49307,0.79295,0.80421,0.82394,0.5567,1.13299,1.67787,2.15111,0.000965375,0.000965375,0.000965375
25,2252.11,0.99947,1.30641,1.55589,0.81757,0.79144,0.83029,0.56338,1.17247,1.66507,2.2797,0.000953,0.000953,0.000953
26,2308.12,0.99383,1.27457,1.54054,0.9012,0.66086,0.81751,0.59627,1.10729,1.5238,2.15838,0.000940625,0.000940625,0.000940625
27,2362.42,0.93287,1.25111,1.45225,0.89761,0.69617,0.85902,0.62106,0.94982,1.43485,2.01855,0.00092825,0.00092825,0.00092825
28,2415.89,0.95411,1.14696,1.50988,0.85945,0.6875,0.82211,0.59944,0.97813,1.54103,2.01943,0.000915875,0.000915875,0.000915875
29,2469.86,0.97642,1.25111,1.54901,0.60984,0.8125,0.83913,0.58367,1.07037,1.59984,1.98538,0.0009035,0.0009035,0.0009035
30,2522.88,1.02832,1.27656,1.5696,0.68902,0.83344,0.8875,0.61593,1.0835,1.46662,2.06647,0.000891125,0.000891125,0.000891125
31,2578.14,1.01962,1.33132,1.55428,0.77753,0.86297,0.87224,0.61748,1.09272,1.38724,2.18018,0.00087875,0.00087875,0.00087875
