epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.036,1.23809,1.99489,1.87386,0.78667,0.70798,0.78212,0.63125,0.7843,2.21056,1.88192,0.00015,0.00015,0.00015
2,194.43,1.21809,1.77294,1.8279,0.48727,0.75637,0.70089,0.43832,1.08688,2.39136,2.04204,0.000309406,0.000309406,0.000309406
3,270.712,1.17136,1.80149,1.68111,0.59081,0.39837,0.5517,0.25814,1.90067,3.00239,2.50848,0.000465595,0.000465595,0.000465595
4,337.601,1.16609,1.73376,1.69581,0.63769,0.47348,0.53804,0.26242,1.41632,3.03938,2.38907,0.000618566,0.000618566,0.000618566
5,410.869,1.17358,1.6734,1.70749,0.77238,0.52083,0.50168,0.27477,1.30572,2.65228,2.40182,0.00076832,0.00076832,0.00076832
6,504.891,1.14555,1.65078,1.68059,0.74816,0.5276,0.60157,0.37104,1.12753,2.75642,2.18868,0.000914856,0.000914856,0.000914856
7,579.251,1.06546,1.71516,1.64794,0.6559,0.66667,0.66474,0.43313,1.0511,3.2092,2.19466,0.00105817,0.00105817,0.00105817
8,648.307,1.06541,1.76314,1.65413,0.56818,0.64583,0.69075,0.4564,1.00769,3.08773,2.08839,0.00116337,0.00116337,0.00116337
9,724.195,1.11774,1.66403,1.65415,0.56179,0.69178,0.63914,0.3559,1.29885,2.41294,2.59554,0.001151,0.001151,0.001151
10,790.092,1.09881,1.68031,1.67668,0.62058,0.59849,0.62292,0.3141,1.25962,2.40265,2.58446,0.00113863,0.00113863,0.00113863
11,852.66,1.09335,1.58859,1.62396,0.86486,0.68118,0.73882,0.36916,1.34401,2.73959,2.64055,0.00112625,0.00112625,0.00112625
12,915.172,1.07105,1.72364,1.60507,0.52114,0.78681,0.70722,0.36187,1.28017,2.31052,2.30728,0.00111388,0.00111388,0.00111388
13,978.304,1.14331,1.61359,1.70464,0.63421,0.70911,0.68528,0.36755,1.18562,2.33766,2.1627,0.0011015,0.0011015,0.0011015
14,1050.28,1.16125,1.55785,1.68165,0.48993,0.73356,0.65665,0.4098,1.33307,2.43456,2.13315,0.00108913,0.00108913,0.00108913
15,1117.93,1.11916,1.56586,1.68404,0.48264,0.56863,0.67366,0.4339,1.00667,2.21916,2.04789,0.00107675,0.00107675,0.00107675
16,1180.37,1.16728,1.68891,1.70535,0.48133,0.64193,0.73139,0.46416,0.95849,2.05505,2.12744,0.00106437,0.00106437,0.00106437
17,1257.39,1.04703,1.53219,1.60094,0.52339,0.64439,0.66417,0.44765,1.03226,2.25347,2.05617,0.001052,0.001052,0.001052
18,1324.03,1.0151,1.56528,1.58598,0.49438,0.67148,0.57964,0.41383,1.0203,2.44222,2.07742,0.00103962,0.00103962,0.00103962
19,1386.44,0.97146,1.3973,1.51303,0.46445,0.67064,0.70515,0.47302,1.18528,2.59332,2.23335,0.00102725,0.00102725,0.00102725
20,1479.05,1.02439,1.42445,1.57606,0.86886,0.70313,0.81598,0.59663,0.95247,1.98329,1.93858,0.00101488,0.00101488,0.00101488
21,1607.14,1.01953,1.50989,1.52869,0.86023,0.76112,0.83363,0.61685,0.9882,1.83893,1.99563,0.0010025,0.0010025,0.0010025
22,1733.53,1.11795,1.55114,1.64448,0.68736,0.64967,0.70194,0.49405,0.96476,2.10952,1.89444,0.000990125,0.000990125,0.000990125
23,1862.61,1.04361,1.44384,1.58073,0.74369,0.77645,0.75037,0.53977,0.92179,2.07211,1.89509,0.00097775,0.00097775,0.00097775
24,1986.61,1.06174,1.35398,1.60392,0.89651,0.65522,0.79143,0.56516,0.90355,1.91292,1.88899,0.000965375,0.000965375,0.000965375
25,2116.4,0.93626,1.30792,1.48353,0.72706,0.6207,0.68782,0.50037,0.93947,1.86835,1.90173,0.000953,0.000953,0.000953
26,2247.32,1.04557,1.40036,1.61306,0.68506,0.63857,0.68686,0.40383,1.12416,1.961,2.23447,0.000940625,0.000940625,0.000940625
