epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.068,0.79372,0.98949,1.35177,0.85809,0.73918,0.8569,0.61075,0.91958,1.02133,1.73551,0.000225,0.000225,0.000225
2,225.454,0.82879,0.99185,1.37314,0.86104,0.66845,0.7566,0.5346,0.94332,1.2345,1.91294,0.000456777,0.000456777,0.000456777
3,320.131,0.87979,1.01362,1.40192,0.77462,0.87646,0.92551,0.69399,0.83741,1.00439,1.79812,0.000682675,0.000682675,0.000682675
4,451.227,0.89208,1.04837,1.44039,0.8274,0.80285,0.94465,0.73218,0.95252,0.98736,1.79881,0.000902695,0.000902695,0.000902695
5,535.983,0.8777,1.05523,1.44839,0.75232,0.63027,0.67995,0.48235,0.98365,1.31817,2.03453,0.00111684,0.00111684,0.00111684
6,659.652,0.98334,1.09835,1.52942,0.6448,0.76485,0.67022,0.45348,0.95524,1.3474,1.94591,0.00117266,0.00117266,0.00117266
7,786.546,0.88786,1.06694,1.43561,0.70644,0.79687,0.80335,0.56986,0.94194,1.38168,1.85239,0.00115719,0.00115719,0.00115719
8,897.709,0.97307,1.12173,1.49668,0.69707,0.63595,0.73575,0.51078,1.14615,1.55423,2.02307,0.00114172,0.00114172,0.00114172
9,1014.46,0.90267,1.07218,1.45455,0.86173,0.79593,0.94153,0.62629,1.00355,1.14081,2.06243,0.00112625,0.00112625,0.00112625
10,1133.03,0.87076,1.00436,1.4194,0.84203,0.9375,0.96634,0.65742,1.06112,1.01864,2.15898,0.00111078,0.00111078,0.00111078
11,1272.63,0.95913,1.07891,1.50015,0.84238,0.7922,0.91545,0.61401,1.1066,1.09602,2.22641,0.00109531,0.00109531,0.00109531
12,1478.03,0.91702,1.04779,1.46533,0.80907,0.80539,0.92486,0.5976,1.04095,1.06081,2.14524,0.00107984,0.00107984,0.00107984
13,1609.39,0.90385,1.0772,1.4871,0.63939,0.87045,0.83726,0.53889,1.02599,1.34012,1.98594,0.00106437,0.00106437,0.00106437
14,1802.64,1.00237,1.18688,1.51275,0.83288,0.82477,0.92625,0.65507,1.04172,1.00882,1.89945,0.00104891,0.00104891,0.00104891
15,2201.2,0.95579,1.05833,1.48078,0.87268,0.775,0.89967,0.61555,0.96491,0.98266,2.00504,0.00103344,0.00103344,0.00103344
16,2370.86,0.96111,1.06199,1.46601,0.73826,0.825,0.88001,0.55366,1.1048,1.17741,2.34602,0.00101797,0.00101797,0.00101797
17,2487.1,0.90309,1.05079,1.42517,0.85334,0.83971,0.89101,0.63251,0.9345,1.14004,1.97569,0.0010025,0.0010025,0.0010025
18,2609.5,0.90889,0.99001,1.48199,0.85999,0.74431,0.85571,0.58357,0.95119,1.10285,1.96938,0.000987031,0.000987031,0.000987031
19,2736.95,0.88329,0.95368,1.43919,0.88728,0.70604,0.83803,0.5436,0.92741,1.1501,1.96715,0.000971562,0.000971562,0.000971562
